DATE,TIME,実績(万kW),予測(万kW)
2025-10-24,0:00,2665.4,2701.0
2025-10-24,1:00,2589.2,2630.5
2025-10-24,2:00,2512.8,2545.3
2025-10-24,3:00,2478.5,2501.2
2025-10-24,4:00,2501.3,2523.8
2025-10-24,5:00,2589.7,2612.4
2025-10-24,6:00,2756.2,2780.9
2025-10-24,7:00,3012.5,3045.1
2025-10-24,8:00,3298.4,3334.2
2025-10-24,9:00,3512.6,3551.8
2025-10-24,10:00,3689.3,3728.5
2025-10-24,11:00,3801.2,3842.6
2025-10-24,12:00,3856.7,3899.4
2025-10-24,13:00,3912.4,3956.3
2025-10-24,14:00,3968.5,4013.2
2025-10-24,15:00,3945.1,3989.7
2025-10-24,16:00,3889.6,3933.8
2025-10-24,17:00,3834.2,3877.9
2025-10-24,18:00,3756.8,3799.4
2025-10-24,19:00,3623.5,3665.1
2025-10-24,20:00,3445.2,3486.3
2025-10-24,21:00,3234.7,3274.8
2025-10-24,22:00,3012.3,3051.5
2025-10-24,23:00,2834.6,2872.9
